Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Gelofusine 4% inj FL/500ml;11;3?515;26/08/2023;SANS TABLEAU;Anesthesie Reanimation;Injectables
Androtardyl 250mg inj IM B/lamp;0;40;;Liste I;Androgene;Injectables
Heptylate de testosterone 250mg amp inj B/2ml;0;40;;Liste I;Androgene;Injectables
Tremadol cp B/20;6;3?216;19/09/2023;LISTE I;Analgesique central;Comprimes Gelules
Novalgin 500mg cp B/20;50;1?367;20/09/2023;LISTE I;Analgesique;Comprimes Gelules
Novalgin inj B/5 amp/5ml;2;2?842;21/09/2023;LISTE II;Analgesique;Injectables
Topalgic LP 100mg cp B/30;0;40;;Liste I;Analgesique;Comprimes Gelules
Topalgic LP 200mg cp B/30;0;40;;Liste I;Analgesique;Comprimes Gelules
Tramadol/para Arrow 37.5/325 cp eff bte 20;1;3?015;11/09/2023;LISTE I;Analgesique;Comprimes Gelules
Tramardis 50mg cp B10;0;2?149;01/04/2017;Liste I;Analgesique;Comprimes Gelules
Alfamox 1g sachet;58;3?622;22/09/2023;LISTE I;Amoxicilline + Acide clavulanique;Sachets Granules poudres orales
Clavulin 1g IV inj B/1;0;40;;Liste I;Amoxicilline + Acide clavulanique;Injectables
Levobact 500mg;2;40;06/09/2023;;Amoxicilline + Acide clavulanique;Comprimes Gelules
Anastime Lotion amp/5ml B/12;0;0;;SANS TABLEAU;Alopecie;Solutions externes lotions
Bepanthene cp B/20;0;2?812;22/02/2020;SANS TABLEAU;Alopecie;Comprimes Gelules
Drill pastilles avec sucre B/24;5;2?913;21/09/2023;SANS TABLEAU;Adoucissant de la gorge;Pastilles
Drill past sans sucre B/24;0;2?934;15/08/2023;SANS TABLEAU;Adoucissant de la gorge;Pastilles
Euphon past sans sucre B/70g;0;2?755;04/08/2023;SANS TABLEAU;Adoucissant de la gorge;Pastilles
Humex reflex reglisse menthol pastilles B/25;1;1?986;29/05/2023;SANS TABLEAU;Adoucissant de la gorge;Pastilles
Valda diet past sans sucre  B/60;15;898;22/09/2023;SANS TABLEAU;Adoucissant de la gorge;Pastilles
Vegebom past sans sucre B/50g;0;0;;SANS TABLEAU;Adoucissant de la gorge;Pastilles
Acticarbine cp B/42 sans sucre;1;1?406;21/04/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carbactive gelu B/ 30;3;2?172;19/09/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carben 500 cp B/1;6;1?099;20/09/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carbolovure cp Ad B/20;0;0;;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carbolovure cp Enf B/20;0;0;;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carbophos cp B/40;1;2?564;27/01/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carbosylane Ad gelu B/24 x2 sans sucre;4;2?812;15/09/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Carbosylane cp B/96 sans sucre;0;0;17/08/2021;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Charbon belloc cp B/36 sans sucre;0;0;;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Eucarbon cp B/30 sans sucre;7;2?602;20/09/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Kalmagas cp B/20;0;0;;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
Norit cp 200mg B/30 sans sucre;0;0;;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules
;0;40;;;;Divers 
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;0;;SANS TABLEAU;;Comprimes Gelules
;0;40;;;;
;0;40;;LISTE I;;Comprimes Gelules
;0;0;;;;
;0;0;;;;
;0;0;;;;
;0;40;;;;
;0;0;;;;
;0;0;;;;
;0;0;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;-1;842;18/08/2023;I;;Sirops
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;30;;;;
;0;0;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;1;1?885;21/08/2023;ST;;Dentifrices et brosses
;0;40;;;;
;0;40;;;;
;0;30;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;-7;40;09/09/2023;;;
;0;842;22/12/2019;I;;Comprimes Gelules
;0;842;22/12/2019;I;;Comprimes Gelules
;0;0;;;;
;0;40;;;;
;0;0;;;;Comprimes Gelules
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;30;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;8?549;31/08/2023;;;Comprimes Gelules
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;-5;0;11/09/2023;SANS TABLEAU;;Comprimes Gelules
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;Comprimes Gelules
;0;40;;;;
;0;0;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;30;;;;
;0;30;;;;
;0;40;;;;
;0;40;30/08/2023;I;;Sirops
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;0;;;;
;0;0;;;;
;0;30;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;30;;;;
;0;0;;;;
;0;0;;;;
;0;30;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;1;40;11/09/2023;I;;Comprimes Gelules
;0;0;;;;
;0;0;;SANS TABLEAU;;Comprimes Gelules
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;40;;;;
;0;0;;;;
;0;30;;;;
;0;40;;;;
;0;30;;;;
;0;40;;;;
50/5mcg susp inh doses/120 AFR;0;40;11/03/2020;LISTE I;;Inhalation
Aarloflox oz cp 200/500mg b/10;3;2?442;14/03/2023;LISTE I;;Comprimes Gelules
Acarilbial sol ;6;2?628;10/08/2023;LISTE II;;
Accu cheik  active bandelette /25;4;8?786;17/09/2023;SANS TABLEAU;;
Accu chek instant bandelette B/50;0;17?687;20/07/2023;SANS TABLEAU;;Divers 
Accu ckeik active bandelette/50;1;17?402;15/09/2023;;;Divers 
Accu ckeik instant lecteur glycemie b/1;5;18?036;10/07/2023;ST;;Divers 
Accufast test de grossesse;100;1?500;18/09/2023;SANS TABLEAU;;Divers 
Acculol 0.5% collyre f/5ml;2;3?306;21/08/2023;LISTE I;;Collyres
Aceflamex 100mg cp b/20;1;2?487;09/05/2023;LISTE I;;
Acefyl sp 120ml;67;1?163;20/09/2023;;;Sirops
Acelodon-p 100mg/500mg cp pell sec b/10;4;3?531;15/09/2023;II;;Comprimes Gelules
A cerumen 2ml dose b/10;3;40;31/08/2023;;;Gouttes auriculaires
Acfol 5mg cp bte/25;64;1?788;20/09/2023;SANS TABLEAU;;Comprimes Gelules
Aciclovir arrow ;1;5?966;12/07/2023;LISTE I;;Pommades cremes
Aciclovir creme 5%;0;8?131;14/07/2022;;;Pommades cremes
Aciclovir denk 200mg;0;8?128;14/02/2023;I;;Comprimes Gelules
Acicrof p cp b/10;-8;2?677;19/09/2023;SANS TABLEAU;;Comprimes Gelules
Acidaxil susp buv fl/200ml bt1;7;0;19/09/2023;SANS TABLEAU;;Sirops
Acide fusidique ubi 2% cr t/15g b/12;4;2?276;11/07/2023;I;;Pommades cremes
Aciloc injectable;2;2?139;16/08/2023;LISTE II;;Injectables
Acine 50mg cpr enr sec b/30;0;4?582;26/10/2020;SANS TABLEAU;;Comprimes Gelules
Acine plus 50mg/12.5 cp b/30;0;4?616;03/01/2020;LISTE I;;Comprimes Gelules
Aclav 100/12.5 buv f/60ml;17;40;20/09/2023;;;Sirops
Aclav 100/12.5 buv fl/30ml;18;2?233;21/09/2023;LISTE I;;Sirops
Aclav 1g bte 12;66;4?391;22/09/2023;LISTE I;;Sachets Granules poudres orales
Aclav 1g bte 16;19;7?410;15/09/2023;LISTE I;;Sachets Granules poudres orales
Aclav 500 sach b/12 ;6;4?279;22/09/2023;LISTE I;;
Aclav 500 sach b/16;0;6?367;22/11/2022;I;;Sachets Granules poudres orales
Aclop 100mg/500mg cp b/10;3;1?749;19/09/2023;LISTE I;;Comprimes Gelules
Acmist gel creme hydradant ;1;7?255;04/03/2022;SANS TABLEAU;;Baume Lait
Acmist savon anti acne;0;392;29/08/2022;SANS TABLEAU;;Pains
Actifed rhume jour et nuit;0;6?605;22/11/2022;SANS TABLEAU;;Comprimes Gelules
Actimove lumbal ceint xl/1;0;19?574;09/02/2020;ST;;Divers 
Actinac 100mg cp b/10;8;2?320;21/09/2023;LISTE I;;Comprimes Gelules
Actinac 100mg cp b/30;4;6?891;14/08/2023;;;Comprimes Gelules
Actinac plus cp b/10;3;2?718;12/09/2023;;;
Actinac plus cp b/ 20;0;82;09/09/2023;LISTE II;;Comprimes Gelules
Activox menthe/eucaly past /24;0;9?322;08/03/2020;ST;;Divers 
Activ repous dr marie diallo;1;40;12/05/2023;;;
Actrapid ins;11;1?698;01/09/2023;LISTE II;;Injectables
Acumol 100mg/50mg cp b/20;4;3?753;09/05/2023;LISTE II;;Comprimes Gelules
Acure 20/120 ;2;1?446;10/08/2023;I;;Comprimes Gelules
Acure  40/240 f/30ml;2;2?042;10/08/2023;;;Sirops
Acure 60mg;0;40;05/07/2023;I;;Comprimes Gelules
Acure 80mg/480mg cpr b/6;11;2?657;11/09/2023;LISTE I;;Comprimes Gelules
Acyclovir denk 20mg cpr b/25;1;8?210;12/07/2023;I;;Comprimes Gelules
Aderma creme emolliente;0;15?652;24/10/2020;SANS TABLEAU;;Pommades cremes
Aderma gel;0;9?394;01/04/2017;SANS TABLEAU;;Gel cutane
Aderma savon;0;4?172;15/03/2020;SANS TABLEAU;;Pains
Adione lp 10/10mg cp b/30;6;6?147;21/09/2023;I;;Comprimes Gelules
Adione lp 10/10mg cpr b/10;0;2?587;19/09/2023;ST;;Comprimes Gelules
Adna 10vit 7min fenugrec cp rf b/10;0;4?233;05/09/2023;;;Comprimes Gelules
Adna 10vit 7min fenugrec cp rf b/10;3;40;11/09/2023;ST;;Comprimes Gelules
Adna bain bche menthe fl/250ml;4;2?646;15/09/2023;SANS TABLEAU;;Bains de bouche
Adna bain bche orange+menthe fl/250ml;3;2?633;08/06/2023;SANS TABLEAU;;Bains de bouche
Adna bain de bouche anti plaque ;0;4?943;05/07/2022;ST;;Bains de bouche
Adna biotine vit min cpr eff b/10 ;3;5?175;28/08/2023;;;Comprimes Gelules
Adna biotine vit min cpr eff b/10 ;0;4?944;01/02/2023;ST;;Comprimes Gelules
Adna diabete;1;9?041;21/09/2023;SANS TABLEAU;;Comprimes Gelules
Adna gingeng vit b/c orange cpr eff  b/10;5;4?240;11/09/2023;;;Comprimes Gelules
Adna gingeng vitb/c tropic cpr eff  b/10;0;2?174;08/09/2023;;;Comprimes Gelules
Adna grossesse fer acide folic vit D3 eff b/10 ;1;4?729;14/08/2023;ST;;Comprimes Gelules
Adna grossesse fer acide folic vit D3 eff b/10 ;6;2?885;04/09/2023;;;Comprimes Gelules
Adna grossesse fer sachet b20;2;8?623;18/01/2023;ST;;Sachets Granules poudres orales
Adna performance athletique ;2;7?805;15/09/2023;ST;;Comprimes Gelules
Adna sante de la femme cpr eff b/10;0;6?649;21/06/2021;;;Comprimes Gelules
Adna sante de la femme cpr eff b/10;4;4?054;24/05/2023;;;Comprimes Gelules
Adna vit c calcium+vit D3 cp eff b/10;1;0;30/08/2023;SANS TABLEAU;;Comprimes Gelules
Adna vit min essentiel orange cpr eff b/10;10;5?116;04/09/2023;ST;;Comprimes Gelules
Advil 200mg cp bte/20;0;1?316;14/07/2023;LISTE II;;Comprimes Gelules
Advilmed sp ped f/200ml;42;2?673;22/09/2023;LISTE II;;Sirops
Aerol 100mcg susp inh dose f/200;0;2?617;05/05/2021;I;;Spray aerosol
Afine 125mg/2.5mg/2.5mg sp fl/30ml;2;0;11/09/2023;SANS TABLEAU;;Sirops
Aflacin collyres;1;1?724;22/09/2023;LISTE I;;Collyres
Aida creme regulatrice;2;5?315;17/06/2023;SANS TABLEAU;;Pommades cremes
Airlix cp;0;2?842;02/11/2022;LISTE II;;Comprimes Gelules
Airlix sp ;0;1?770;04/05/2023;LISTE II;;Sirops
Akerol cp  5mg b/20;2;4?069;30/08/2023;LISTE I;;Comprimes Gelules
Akerol sp 60ml;2;3?143;12/08/2023;SANS TABLEAU;;Sirops
Albact cp;2;2?569;06/09/2023;I;;Comprimes Gelules
Albela cp;3;479;09/09/2023;LISTE II;;Comprimes Gelules
Albela sirop;6;780;01/09/2023;LISTE II;;Sirops
Albendazole ubigen 400mg b/50;1?056;146;22/09/2023;LISTE II;;Comprimes Gelules
Albizol 0.4 susp buv fl/10ml;0;30;29/10/2022;LISTE II;;Sirops
Albizol 400mg bt/1;0;675;26/12/2022;LISTE I;;Comprimes Gelules
Alcer cp;0;4?961;11/03/2021;LISTE I;;Comprimes Gelules
Alcof-c sp fl/100ml;1;0;20/08/2023;SANS TABLEAU;;Sirops
Alcool 70e Gilbert fl/125 ml;15;923;22/09/2023;SANS TABLEAU;;Solutions externes lotions
Alcool 70 gilbert medic f/500ml;0;2?808;04/07/2023;ST;;Divers 
Alcool 70 valda fl/125ml;96;904;22/09/2023;SANS TABLEAU;;Solutions externes lotions
Alcool 70e valda fl/500ml;0;2?473;09/06/2023;SANS TABLEAU;;Solutions externes lotions
Alcool ethylique bleu cooper 60e fl/125ml;0;999;14/08/2021;SANS TABLEAU;;Divers 
Alcool ethylique bleu cooper 70e fl/125ml;0;3?425;17/01/2022;ST;;Solutions externes lotions
Alcool iode fl/125ml;0;0;24/01/2022;SANS TABLEAU;;
Alcool iode fl/60ml;0;596;11/12/2019;SANS TABLEAU;;Solutions externes lotions
Alcool jaune pediatrique 60 125cc valda;1;2?127;11/08/2023;;;Spray aerosol
Alcool officinal 90e fl/500ML;0;2?711;23/08/2022;SANS TABLEAU;;Solutions externes lotions
Alcool pediatrique fl/125ml;0;798;21/11/2022;SANS TABLEAU;;Solutions externes lotions
Aleamox 250mg susp buv f/60ml;0;86;12/09/2019;I;;Sirops
Alevo 500mg cpr b/5;2;33?259;19/09/2023;LISTE I;;Comprimes Gelules
Alfa gh 10mg cpr b/10;0;13?905;11/01/2023;I;;Comprimes Gelules
Alfa gh sr cp b/30;0;0;06/02/2023;;;Comprimes Gelules
Alfamox 250mg/5ml pdre susp f/125ml;18;2?476;16/09/2023;LISTE I;;Sirops
Alfamox 500mg;2;2?922;15/09/2023;LISTE I;;
Alfuzosine biog lp 10mg cpr b/30;2;11?154;21/08/2023;;;Comprimes Gelules
Algesic extra 500/65mg cp pell sec b/16;3;1?112;28/08/2023;ST;;Comprimes Gelules
Algicare cp pell b/30;2;7?148;20/08/2023;ST;;Comprimes Gelules
Algixene cp ;1;1?765;22/08/2023;;;Comprimes Gelules
Algofene sp 150ml;0;1?956;17/08/2023;;;Sirops
Allercet sirop;5;2?702;22/09/2023;LISTE II;;Sirops
Allergiflash 0.5% coll unidose/0.3ml b/10;0;5?726;10/02/2023;SANS TABLEAU;;Collyres
Allergus cp 5mg b/15;0;63;27/12/2022;II;;Comprimes Gelules
Allergus sp ;0;40;02/10/2020;ST;;Sirops
Almax forte sachet;5;4?015;20/09/2023;SANS TABLEAU;;Sachets Granules poudres orales
Almax sirop;6;3?456;12/09/2023;LISTE II;;Sirops
Alofact cp;4;2?109;17/09/2023;SANS TABLEAU;;Comprimes Gelules
Altraflam 100 cp;7;2?075;22/09/2023;LISTE II;;Comprimes Gelules
Alvityl appetit sp;5;4?070;13/09/2023;SANS TABLEAU;;Sirops
Alvityl defense sp;0;8?814;07/04/2020;SANS TABLEAU;;Sirops
Alvityl tonus orange cpr eff b/20;9;0;11/09/2023;SANS TABLEAU;;Comprimes Gelules
Alvityl vitalite cp effervescent ;4;3?876;15/09/2023;SANS TABLEAU;;Comprimes Gelules
Alvityl vitalite cpr b/40;13;6?402;19/09/2023;SANS TABLEAU;;Comprimes Gelules
Always maxi;0;5?327;02/10/2020;ST;;Divers 
Always maxi epaisse ;0;992;27/10/2020;SANS TABLEAU;;Divers 
Always maxi normal b/8;0;912;12/12/2018;SANS TABLEAU;;
Always maxi super;0;1?087;26/08/2019;SANS TABLEAU;;Divers 
Always ultra;0;941;10/08/2020;SANS TABLEAU;;
Alzol sirop;491;733;06/09/2023;LISTE II;;Sirops
Amaday 10mg cp B/30;13;6?271;21/09/2023;LISTE I;;Comprimes Gelules
Amaday 5mg cp b/10;5;6?229;19/09/2023;;;
Amaday pl 10mg/4mg cpr b/30;9;6?908;19/09/2023;;;Comprimes Gelules
Amaday pl 10mg/8mg cpr b/30;7;9?190;20/09/2023;I;;Comprimes Gelules
Amaday pl 5mg/4mg cpr b/30;5;8?058;22/09/2023;;;Comprimes Gelules
Amaday pl 5mg/8mg cpr b/30;3;40;01/09/2023;I;;Comprimes Gelules
Amapine 10 cp b/10;12;6?770;20/09/2023;LISTE I;;Comprimes Gelules
Amapine 10 cp b/30;3;6?745;19/09/2023;LISTE I;;Comprimes Gelules
Amapine 5 cp b/10;8;1?897;17/09/2023;LISTE I;;Comprimes Gelules
Amapine 5 cp b/30;13;5?014;17/09/2023;LISTE I;;Comprimes Gelules
Amaryl M 2mg/500mg;2;5?935;04/09/2023;LISTE I;;Comprimes Gelules
Amaryl M sr 2mg/500mg cpr b/30;1;6?030;20/05/2023;;;Comprimes Gelules
Amatrix 850 cp b/30;1;0;;LISTE I;;Comprimes Gelules
Ambrolite Gs;7;1?732;19/09/2023;SANS TABLEAU;;Sirops
Ambrox denk cp;0;30;01/04/2017;LISTE II;;Comprimes Gelules
Amep 10 cp B/28;7;6?908;09/08/2023;LISTE I;;Comprimes Gelules
Amep 5 cp B/14;2;4?211;15/08/2023;LISTE I;;Comprimes Gelules
Amep 5 cp B/28;2;4?204;05/09/2023;LISTE I;;Comprimes Gelules
Amfocin 1g/125mg pdr buv sach b/12;5;5?721;01/09/2023;LISTE I;;Sachets Granules poudres orales
Amfocin 200ml/5ml sup buv f/15ml;0;86;19/12/2018;I;;Sirops
Amfocin 500/62.5mg cpr b/16;-1;4?258;01/09/2023;I;;Comprimes Gelules
Amfocin 875/125mg cp b/14;0;5?664;15/06/2022;LISTE I;;Comprimes Gelules
Amifer sirop;2;3?075;12/09/2023;ST;;Sirops
Amino pep forte sp f/200ml;1;4?284;01/09/2023;SANS TABLEAU;;Sirops
Amitron 250 sp;4;1?000;15/09/2023;LISTE I;;Sirops
Amitron 500mg cp;11;27?457;02/09/2023;LISTE I;;Comprimes Gelules
Amitron 500mg gel 50bl/10;1;743;19/09/2023;LISTE I;;Comprimes Gelules
Amlo denk 10;4;10?000;11/09/2023;LISTE I;;Comprimes Gelules
Amlo denk 5;1;8?151;14/08/2023;LISTE I;;Comprimes Gelules
Amlodimed 10mg cp b/30;1;3?789;04/05/2023;I;;Comprimes Gelules
Amlodimed 5mg cpr b/30;6;3?120;04/07/2023;I;;Comprimes Gelules
Amlodipine arrow 10mg b/30;0;3?753;27/03/2023;LISTE I;;Comprimes Gelules
Amlodipine arrow 5mg b/30;2;2?473;20/04/2023;LISTE I;;Comprimes Gelules
Amlodipene denk 10mg;0;9?882;02/03/2018;LISTE I;;Comprimes Gelules
Amlodipine gh cp 10mg b/100;5;9?970;30/08/2023;LISTE I;;Comprimes Gelules
Amlodipine gh cp 10mg b/28;1;4?467;21/09/2023;LISTE I;;Comprimes Gelules
Amlodipine GH cp 5mg b/28;0;2?798;22/09/2023;LISTE I;;Comprimes Gelules
Amlodipine vir 10mg cp b/30;0;3?789;20/08/2023;I;;Comprimes Gelules
Amlodipine vir 5mg cp b/30;4;3?147;21/08/2023;LISTE I;;Comprimes Gelules
Amlong 10 cp;3;7?514;19/09/2023;LISTE I;;Comprimes Gelules
Amlong 5 cp;1;5?017;22/09/2023;LISTE I;;Comprimes Gelules
Amlopamide 10mg/1,5mg cp b/30;2;5?637;19/09/2023;LISTE I;;Comprimes Gelules
Amlopamide 5mg/1,5mg cp b/30;1;5?715;15/08/2023;;;Comprimes Gelules
Amloperin cp 10/10;2;12?497;21/09/2023;LISTE I;;Comprimes Gelules
Amloperin cp 10/10 bte/100;-2;27?599;06/09/2023;I;;Comprimes Gelules
Amloperin cp 10/5;4;11?250;19/09/2023;LISTE I;;Comprimes Gelules
Amloperin cp 5/10;0;8?750;20/09/2023;LISTE I;;Comprimes Gelules
Amloperin cp 5/5;3;8?144;22/09/2023;LISTE I;;Comprimes Gelules
Amloperin cp 5/5 b/100;4;17?841;25/03/2023;I;;Comprimes Gelules
Amlor 5 mg cp B/14;1;6?665;21/08/2023;LISTE I;;Comprimes Gelules
Amlor 5 mg cp B/56;0;11?251;10/11/2021;I;;Comprimes Gelules
Amlostat 10mg/10mg cp/bte/30;1;7?147;19/08/2022;;;Comprimes Gelules
Amlostat 5mg/10mg cp/bte/30;4;5?583;21/08/2023;LISTE I;;Comprimes Gelules
Amlotensine 5mg cpr B/30;4;1?572;05/09/2023;;;Comprimes Gelules
Amlotroy 10mg cp b/30;5;4?997;21/09/2023;LISTE I;;Comprimes Gelules
Amlotroy 5mg cp b/30;0;3?725;17/05/2023;LISTE I;;Comprimes Gelules
Amlovas 10mg cp b/30;2;5?499;10/08/2023;LISTE I;;Comprimes Gelules
Amlo vh 10/12.5/160;6;14?974;09/09/2023;LISTE I;;Comprimes Gelules
Amlo vh 10/12.5/160 cpr 30;0;14?997;06/03/2023;I;;Comprimes Gelules
Amlo vh 10/25/160 cpr 30;3;15?134;11/09/2023;I;;Comprimes Gelules
Amlo vh 20/12.5/160;0;14?803;06/05/2022;LISTE I;;Comprimes Gelules
Amlo vh 5/12.5/160;2;14?967;18/05/2023;LISTE I;;Comprimes Gelules
Amlo vh 5/25/160;2;14?894;24/02/2023;LISTE I;;Comprimes Gelules
Amoxicilline 125mg ubigen fl 60ml;9;0;21/09/2023;LISTE II;;Sachets Granules poudres orales
Amoxicilline 250 MG SP Ubigen B/60ML;0;0;02/01/2023;LISTE I;;Sirops
Amoxicilline 500 arrow gel b/12;0;1?446;27/12/2022;LISTE I;;Comprimes Gelules
Amoxicilline 500 creat B/10X10;8;401;09/09/2023;LISTE I;;Comprimes Gelules
Amoxicilline 500 sandoz;4;743;10/04/2023;LISTE I;;Comprimes Gelules
Amoxicilline ubigen;0;743;25/02/2023;LISTE I;;Comprimes Gelules
Amoxicilline ubigen;0;743;27/01/2023;LISTE I;;Comprimes Gelules
Amoxiclav denk 500 cp;-19;2?149;20/09/2023;LISTE I;;Comprimes Gelules
Amoxiclav denk comprimes b/16;0;4?362;10/03/2023;LISTE I;;Comprimes Gelules
Amoxiclav denk sachet B/12;11;5?990;20/09/2023;LISTE I;;Comprimes Gelules
Amoxiclav denk sachet B/8;1;3?982;09/09/2023;LISTE II;;Comprimes Gelules
Amoxi denk 1000mg cp b/10;6;2?530;14/09/2023;LISTE I;;Comprimes Gelules
Amoxi denk 1000mg cp b/20;0;44;16/08/2022;I;;Comprimes Gelules
Amoxi denk 500mg;92;2?244;19/09/2023;LISTE I;;Comprimes Gelules
Amoxirex 500 cp;0;40;21/12/2018;LISTE I;;Comprimes Gelules
Ampicilline gelule;0;40;06/07/2020;I;;Comprimes Gelules
Ampicilline inj;0;366;07/06/2023;LISTE I;;Injectables
Amplex 1000/125 cp b/14;4;5?596;15/09/2023;LISTE I;;Comprimes Gelules
Amplex ds sp 60ml;1;40;21/08/2023;ST;;Sirops
Amplex sp 60ml;1;111;21/08/2023;;;Sirops
Amplex sp nn;0;3?654;06/05/2022;LISTE I;;Sirops
Amuchina sol;1;1?646;11/09/2023;SANS TABLEAU;;Spray solutions externes
Anaca 3 draineur 4en1 250ml;0;25?883;23/08/2020;ST;;Sirops
Anaca 3 perte de poids gel b/90;0;2?980;27/10/2018;ST;;Sirops
Anaca 3 shorty minceur nuit l/xl;1;41?519;04/03/2022;ST;;Divers 
Anaca 3 shorty ventre plat s/m;1;42?766;04/03/2022;ST;;Divers 
Anaca capteur graisse et sucre gel b/60;0;30?474;23/08/2020;ST;;Comprimes Gelules
Anacaps ducray ;0;0;;LISTE I;;Comprimes Gelules
Ancine 50mg cpr enr b/30;0;4?574;05/06/2023;LISTE I;;Comprimes Gelules
Ancine plus 50mg/12.5mg cpr  b/30;3;40;04/09/2023;LISTE I;;Comprimes Gelules
Andol 500mg cp b/20;0;636;20/09/2023;SANS TABLEAU;;Comprimes Gelules
Andol C 500/300 cp eff b/10;2;1?013;21/09/2023;SANS TABLEAU;;Comprimes Gelules
Androcur 50mg cp b/20;0;13?925;29/08/2023;LISTE I;;Comprimes Gelules
Angel secret nuit;0;11?498;27/04/2023;ST;;Divers 
Angel secret protege slip;0;3?948;30/08/2023;SANS TABLEAU;;Divers 
Angels secret jour;0;2?273;15/09/2023;;;Divers 
Anginib 50 cpr b/28;0;2?217;25/08/2020;LISTE I;;Comprimes Gelules
Angizaar 50mg cp b/30;0;40;21/11/2018;I;;Comprimes Gelules
Angizar H cp;0;9?492;25/02/2021;LISTE I;;Comprimes Gelules
Anneau dentition 4M+Refrig Tortue/1;1;6?851;27/05/2023;SANS TABLEAU;;Divers 
Anomex 500 mg gellule b/12;0;309;14/01/2023;I;;Comprimes Gelules
Anomex creme;0;3?667;24/02/2023;LISTE I;;Gel rectal
Anomex suppo;6;3?730;11/09/2023;LISTE I;;Suppositoires
Antalgex T;51;1?779;22/09/2023;LISTE I;;Comprimes Gelules
Antarene 200mg cpr b/30;0;1?246;09/09/2021;;;Comprimes Gelules
Antarene 250mg;0;1?076;29/07/2020;LISTE II;;Sirops
Antarene codeine 400mg /60mg cpr b/10;0;6?476;20/04/2019;I;;Comprimes Gelules
Antarene codeine cp;0;2?873;11/08/2018;LISTE I;;Comprimes Gelules
Anterene sp ;0;1?436;31/10/2018;LISTE II;;Sirops
Anticid sp;5;1?192;11/09/2023;SANS TABLEAU;;Sirops
Antiplat 75mg cpr b/30;1;10?331;22/10/2022;;;Comprimes Gelules
Anti-transpirant nivea ;0;3?068;28/01/2021;ST;;Divers 
Apazide 200 cp;3;1?461;17/09/2023;LISTE II;;Comprimes Gelules
Apazide 4% sp;0;1?441;04/02/2020;LISTE II;;Sirops
Apdrops collyre fl/3ml;6;6?329;22/09/2023;LISTE I;;Collyres
Apdrops DX collyre;1;6?216;18/09/2023;LISTE I;;Collyres
Apetamin sirop;26;2?450;21/09/2023;SANS TABLEAU;;Sirops
Apetil plus sp fl 100ml ;0;4?229;05/03/2020;ST;;Sirops
Apexime 250mg cp b/6;2;5?039;03/02/2023;;;Comprimes Gelules
Apexime 500mg cp b/3;1;40;16/09/2023;;;
Apexime sirop;1;3?763;15/09/2023;LISTE I;;Sirops
Apflu sachet;6;2?227;21/09/2023;SANS TABLEAU;;Sachets Granules poudres orales
